produto,tokens_busca,id_ncm,nome_ncm_por,nome_ncm_esp,nome_ncm_ing,score_por,score_esp,score_ing,token_score_por,token_score_esp,token_score_ing,melhor_linguagem,score_match,ja_parametrizado
Abacate,abacate,08044000,Abacates frescos ou secos,Aguacates frescos o secos,Fresh/dried avocados,1.0,0.0938,0.0556,1.0,0.0,0.0,por,1.0,True
Abacate,abacate,21069090,Outras preparações alimentícias,Las demás preparaciones alimenticias,Other food preparations,0.0658,0.0581,0.05,0.0,0.0,0.0,por,0.0658,True
Abacate,abacate,20079910,"Geleias e marmelades, de outras frutas","Jaleas y mermeladas, de otros frutos","Jellies, marmalades, of other fruits",0.0455,0.0476,0.061,0.0,0.0,0.0,ing,0.061,True
Abacate,abacate,20079929,Purês de outras frutas,Los purés de otras frutas,Mashed of other fruits,0.0345,0.0312,0.0517,0.0,0.0,0.0,ing,0.0517,True
Abacate,abacate,20079990,"Doces, pures e pastas, de outras frutas","Confituras, purés y pastas, de otros frutos","Jams, purée, pastes, of other fruits",0.0455,0.0417,0.05,0.0,0.0,0.0,ing,0.05,True
Abacate,abacate,20089790,"Misturas de frutas preparadas,conservadas de outro modo","Mezclas de fruta preparadas, conservadas de otro modo","Mixtures of prepared fruit, otherwise preserved",0.0403,0.0424,0.0283,0.0,0.0,0.0,esp,0.0424,True
Abacate,abacate,21069060,"Caramelos, confeitos, pastilhas e produtos semelhantes, sem açúcar","Caramelos, confites, pastillas y productos simil.s/azúcar","Caramels, sweets, tablets and similar prod., ithout sugar",0.0286,0.0323,0.0417,0.0,0.0,0.0,ing,0.0417,True
Abacate,abacate,20089710,"Misturas de frutas preparadas em água edulcorada, inclusive corantes","Mezclas de frutas, preparadas en agua edulcorada","Mixtures of fruits, prepared in water sweetened",0.0405,0.037,0.0377,0.0,0.0,0.0,por,0.0405,True
Abacate,abacate,20098990,"Sucos (sumo) de outras frutas, não fermentado, sem adição de açúcar","Jugo de otras frutas, sin fermentar, sin adición azúcar","Other fruit juice, unfermented, without added sugar",0.0286,0.0333,0.0268,0.0,0.0,0.0,esp,0.0333,True
Abacaxi,abacaxi,20082010,"Abacaxis (ananases), preparados ou conservados em água edulcorada, incluindo os xaropes","Piñas preparadas o conservadas en agua edulcorada,  etc","Pineapples prepared/preserved with sweetening water, etc",1.0,0.0333,0.0242,1.0,0.0,0.0,por,1.0,True
Abacaxi,abacaxi,20082090,"Abacaxis (ananases), preparados ou conservados de outro modo",Piñas preparadas o conservadas de otra forma,Pineapples otherwise prepared or preserved,1.0,0.0392,0.0204,1.0,0.0,0.0,por,1.0,True
Abacaxi,abacaxi,08043000,Abacaxis frescos ou secos,Piñas frescas o secas,Fresh/dried pineapples,1.0,0.0536,0.0172,1.0,0.0,0.0,por,1.0,True
Abacaxi,abacaxi,20094000,"Sucos de abacaxis (ananases), não fermentados","Jugo de piña, sin fermentar","Pineapple juices, unfermented",1.0,0.0303,0.0286,1.0,0.0,0.0,por,1.0,True
Abacaxi,abacaxi,20094100,"Suco (sumo) de abacaxi (ananás), com valor Brix não superior a 20",Jugo de piña con valor brix <= 20,Pineapple juice of a brix value <= 20,1.0,0.0405,0.0366,1.0,0.0,0.0,por,1.0,True
Abacaxi,abacaxi,20094900,Outros sucos de abacaxi,Los demás jugos de piñas,Other pineapple juices,1.0,0.0323,0.0345,1.0,0.0,0.0,por,1.0,True
Abacaxi,abacaxi,21069090,Outras preparações alimentícias,Las demás preparaciones alimenticias,Other food preparations,0.0658,0.0581,0.05,0.0,0.0,0.0,por,0.0658,True
Abacaxi,abacaxi,21069010,Outras preparações para elaboração de bebidas,Las demás preparaciones para la elabor.de bebidas,Other preparations for elaboration of drinks,0.0577,0.0268,0.0392,0.0,0.0,0.0,por,0.0577,True
Abacaxi,abacaxi,20079910,"Geleias e marmelades, de outras frutas","Jaleas y mermeladas, de otros frutos","Jellies, marmalades, of other fruits",0.0341,0.0357,0.0488,0.0,0.0,0.0,ing,0.0488,True
Abacaxi,abacaxi,21069060,"Caramelos, confeitos, pastilhas e produtos semelhantes, sem açúcar","Caramelos, confites, pastillas y productos simil.s/azúcar","Caramels, sweets, tablets and similar prod., ithout sugar",0.0286,0.0242,0.0417,0.0,0.0,0.0,ing,0.0417,True
Abacaxi,abacaxi,20079990,"Doces, pures e pastas, de outras frutas","Confituras, purés y pastas, de otros frutos","Jams, purée, pastes, of other fruits",0.0341,0.0312,0.0375,0.0,0.0,0.0,ing,0.0375,True
Abacaxi,abacaxi,20089710,"Misturas de frutas preparadas em água edulcorada, inclusive corantes","Mezclas de frutas, preparadas en agua edulcorada","Mixtures of fruits, prepared in water sweetened",0.0338,0.037,0.0189,0.0,0.0,0.0,esp,0.037,True
Abacaxi,abacaxi,20098990,"Sucos (sumo) de outras frutas, não fermentado, sem adição de açúcar","Jugo de otras frutas, sin fermentar, sin adición azúcar","Other fruit juice, unfermented, without added sugar",0.0286,0.0333,0.0179,0.0,0.0,0.0,esp,0.0333,True
AcaiCaroco,acai caroco,44022000,"Carvão vegetal, mesmo aglomerado, de cascas ou de caroços","Carbón vegetal, incluso aglomerado, de conchas o piedras","Vegetable carbon, whether or not agglomerated, of shells or kernels",0.5,0.0462,0.0461,0.5,0.0,0.0,por,0.5,False
AcaiCaroco,acai caroco,88040000,Pára-quedas (incluindo os pára-quedas dirigíveis e os parapentes) e os pára-quedas giratórios; suas partes e acessórios,"Paracaídas/de aspas giratorias, sus partes y acces.","Parachutes/rotochutes,its parts and access.",0.0157,0.5,0.066,0.0,0.5,0.0,esp,0.5,False
AcaiCaroco,acai caroco,12123000,"Caroços e amêndoas de damascos, pêssegos e ameixas","Huesos y almendras de albaricoque, durazno y ciruela","Stones and almonds of apricots, peaches and plums",0.5,0.0484,0.0339,0.5,0.0,0.0,por,0.5,False
AcaiCaroco,acai caroco,20079921,Purês de açaí (Euterpe oleracea),Los purés de acai (Euterpe oleracea),Purees of acai (Euterpe oleracea),0.5,0.5,0.5,0.5,0.5,0.5,por,0.5,False
AcaiCaroco,acai caroco,08132010,"Ameixas secas, com caroço","Ciruelas secas, con hueso","Dried prunes, not stoned",0.5,0.1,0.0735,0.5,0.0,0.0,por,0.5,False
AcaiCaroco,acai caroco,08132020,"Ameixas secas, sem caroço","Ciruelas secas, sin hueso","Dried prunes, stoned",0.5,0.0857,0.0667,0.5,0.0,0.0,por,0.5,False
AcaiCaroco,acai caroco,29399040,Cocaína e seus sais,Cocaína y sus sales,Cacaine and its salts,0.0833,0.0833,0.5,0.0,0.0,0.5,ing,0.5,False
AcaiCaroco,acai caroco,29399041,Cocaína e seus sais,Cocaína y sus sales,Cacaine and its salts,0.0833,0.0833,0.5,0.0,0.0,0.5,ing,0.5,False
AcaiCaroco,acai caroco,29333982,Cloridrato de mepivacaína,Clorhidrato de mepivacaína,Mepivacaine hydrochloride,0.5,0.5,0.5,0.5,0.5,0.5,por,0.5,False
AcaiCaroco,acai caroco,29333983,Cloridrato de bupivacaína,Clorhidrato de bupivacaína,Bupivacaine hydrochloride,0.5,0.5,0.5,0.5,0.5,0.5,por,0.5,False
AcaiCaroco,acai caroco,44021000,"Carvão vegetal (incluindo o carvão de cascas ou de caroços), mesmo aglomerado, de bambu","Carbón vegetal de bamboo, mismo aglomerado","Bamboo wood charcoal, even agglomerated",0.5,0.0481,0.0714,0.5,0.0,0.0,por,0.5,False
AcaiCaroco,acai caroco,44029000,"Outro carvão vegetal (incluindo o carvão de cascas ou de caroços), mesmo aglomerado","Outro carbón vegetal, mismo aglomerado","Other wood charcoal, even agglomerated",0.5,0.0625,0.0625,0.5,0.0,0.0,por,0.5,False
AcaiCaroco,acai caroco,31028000,Misturas de ureia com nitrato de amônio em soluções aquosas ou amoniacais,"Mezclas de urea c/nitrato de amonio, en disol.acuosa, etc","Mixtures of urea w/ammonium nitrate in aqueous sol., etc",0.5,0.0379,0.0154,0.5,0.0,0.0,por,0.5,False
