ano,produtos,valor_fob_dolar_total,valor_fob_real_total,soma_coeff
1996,35,89199319.38074556,92642.41310884233,1.0
1997,35,89485258.45212734,99829.75432919324,1.0
1998,35,107509034.12284538,129860.16231698493,1.0
1999,35,100458347.44012591,179639.61689243317,1.0
2001,35,76852338.84304594,178266.68518032934,1.0
2002,35,68351429.19309491,241451.4236246078,0.9999999999999999
2003,35,87645017.9949866,253153.86997671926,1.0
2004,35,81794923.3192192,217051.00851988007,1.0
2007,35,145240606.05410457,257148.49301879216,1.0
2008,35,191478349.2501734,447331.71951825503,1.0
2009,35,166070289.67807865,289028.73215572804,1.0
2010,35,194530793.50897172,323971.5835098415,1.0
2012,35,446941128.6309113,913056.0316800887,0.9999999999999998
2013,35,541802738.3738899,1268902.01327165,1.0
2014,35,685700129.9927477,1820945.2652087407,1.0
2015,35,724778903.2987808,2829681.7942591,1.0000000000000002
2018,35,882914907.2094754,3420588.9335109503,1.0
2019,35,854776773.184883,3444835.873612397,1.0
2020,35,1090666113.6575732,5667210.193176117,1.0
2021,35,1238816669.5159829,6912473.134232231,1.0
2024,35,2074885906.9757755,12847071.07022191,1.0
2025,35,2309063376.073939,12704004.882483594,1.0000000000000002
